Region,Country,Region Key
Central America and the Caribbean,The Bahamas,116
Sub-Saharan Africa,Burundi,117
Middle East and North Africa,Syria,118
Europe,Estonia,119
Europe,Bosnia and Herzegovina,120
Australia and Oceania,Tonga,121
Sub-Saharan Africa,Zambia,122
Middle East and North Africa,Morocco,123
Europe,Monaco,124
Sub-Saharan Africa,Lesotho,125
Sub-Saharan Africa,The Gambia,126
Europe,Germany,127
Europe,Slovenia,128
Sub-Saharan Africa,Benin,129
Asia,Turkmenistan,130
Asia,Maldives,131
Asia,Laos,132
Central America and the Caribbean,Cuba,133
Asia,Myanmar,134
Sub-Saharan Africa,Malawi,135
Central America and the Caribbean,Nicaragua,136
Europe,Ireland,137
Sub-Saharan Africa,Mauritania,138
Central America and the Caribbean,Costa Rica,139
Middle East and North Africa,Azerbaijan,140
Middle East and North Africa,Saudi Arabia,141
Europe,Latvia,142
Europe,Belgium,143
Europe,Switzerland,144
Asia,Bhutan,145
Europe,Italy,146
Sub-Saharan Africa,Central African Republic,147
Asia,Vietnam,148
Central America and the Caribbean,Panama,149
Sub-Saharan Africa,Kenya,150
Middle East and North Africa,Libya,151
Middle East and North Africa,Algeria,152
Europe,Belarus,153
Asia,Japan,154
Sub-Saharan Africa,Ghana,155
Asia,Philippines,156
Europe,Czech Republic,157
Asia,China,158
Europe,Liechtenstein,159
Australia and Oceania,Palau,160
Europe,Macedonia,161
Asia,Bangladesh,162
Europe,Slovakia,163
Sub-Saharan Africa,Swaziland,164
Sub-Saharan Africa,Burkina Faso,165
Sub-Saharan Africa,Uganda,166
Europe,Spain,167
Europe,Serbia,168
Europe,Andorra,169
Sub-Saharan Africa,Zimbabwe,170
Asia,Uzbekistan,171
Middle East and North Africa,Oman,172
Central America and the Caribbean,Dominica,173
Sub-Saharan Africa,Cote d'Ivoire,174
Europe,Albania,175
Asia,Thailand,176
Europe,Norway,177
Australia and Oceania,East Timor,178
Australia and Oceania,Federated States of Micronesia,179
Middle East and North Africa,Israel,180
Central America and the Caribbean,Haiti,181
Sub-Saharan Africa,Republic of the Congo,182
Middle East and North Africa,Qatar,183
Europe,Armenia,184
Asia,Nepal,185
