Date Key,Product Key,Region Key,Units Sold,Total Revenue,Total Cost,Total Profit
337,10,150,9993,474167.85,317677.47,156490.38
338,4,75,1596,328297.2,186907.56,141389.64
339,4,107,9377,1928848.9,1098140.47,830708.43
340,8,93,9122,5940337.62,4788685.12,1151652.5
341,2,151,3648,931261.44,581564.16,349697.28
342,6,152,7804,72811.32,54003.68,18807.64
343,12,49,3469,379092.32,124328.96,254763.36
344,10,153,4555,216134.75,144803.45,71331.3
345,5,90,2003,875711.6,527449.99,348261.61
346,9,130,8789,718324.97,498072.63,220252.34
347,1,154,4916,3285215.32,2470486.64,814728.68
186,6,76,2421,22587.93,16753.32,5834.61
41,9,110,371,30321.83,21024.57,9297.26
348,3,127,9865,4161944.85,3597666.85,564278.0
300,2,155,9032,2305688.96,1439881.44,865807.52
349,12,156,8034,877955.52,287938.56,590016.96
350,9,80,4063,332068.99,230250.21,101818.78
351,4,68,6343,1304755.1,742828.73,561926.37
352,10,113,1129,53571.05,35890.91,17680.14
353,3,131,6706,2829194.34,2445611.14,383583.2
354,7,130,8393,1293025.58,763175.49,529850.09
155,9,102,3537,289079.01,200441.79,88637.22
355,12,144,6519,712396.32,233640.96,478755.36
356,11,157,3750,572175.0,365400.0,206775.0
357,2,106,8672,2213788.16,1382490.24,831297.92
181,6,139,6758,63052.14,46765.36,16286.78
358,1,19,515,344159.05,258808.1,85350.95
359,10,141,4477,212433.65,142323.83,70109.82
360,10,142,213,10106.85,6771.27,3335.58
361,7,107,1320,203359.2,120027.6,83331.6
299,11,158,8430,1286249.4,821419.2,464830.2
362,10,41,4202,199384.9,133581.58,65803.32
363,6,152,8329,77709.57,57636.68,20072.89
364,10,159,2535,120285.75,80587.65,39698.1
365,9,66,5575,455644.75,315935.25,139709.5
366,5,9,8235,3600342.0,2168522.55,1431819.45
367,5,63,8332,3642750.4,2194065.56,1448684.84
368,7,24,5715,880452.9,519664.95,360787.95
369,2,21,7264,1854353.92,1158026.88,696327.04
172,11,54,1890,288376.2,184161.6,104214.6
370,10,62,5535,262635.75,175957.65,86678.1
371,12,160,6173,674585.44,221240.32,453345.12
372,7,123,8809,1357114.54,801002.37,556112.17
373,4,48,479,98530.3,56095.69,42434.61
374,1,97,5250,3508417.5,2638335.0,870082.5
375,3,125,9221,3890247.69,3362806.49,527441.2
83,10,109,5523,262066.35,175576.17,86490.18
376,6,154,9315,86908.95,64459.8,22449.15
377,12,138,2790,304891.2,99993.6,204897.6
54,9,144,173,14139.29,9803.91,4335.38
378,11,8,2717,414559.86,264744.48,149815.38
379,8,128,3709,2415337.89,1947076.64,468261.25
380,7,161,3467,534126.02,315254.31,218871.71
381,8,87,4339,2825600.19,2277801.44,547798.75
382,8,93,5705,3715153.05,2994896.8,720256.25
383,10,45,8976,425911.2,285347.04,140564.16
304,1,75,2594,1733492.38,1303588.76,429903.62
384,4,153,7033,1446688.1,823634.63,623053.47
385,12,40,9799,1070834.72,351196.16,719638.56
386,10,19,426,20213.7,13542.54,6671.16
387,10,162,5483,260168.35,174304.57,85863.78
388,10,140,3568,169301.6,113426.72,55874.88
389,5,86,311,135969.2,81895.63,54073.57
390,9,59,3373,275675.29,191147.91,84527.38
391,7,97,7447,1147284.82,677155.71,470129.11
392,4,116,9255,1903753.5,1083853.05,819900.45
393,11,69,2554,389689.32,248861.76,140827.56
394,6,163,3129,29193.57,21652.68,7540.89
395,4,97,3797,781042.9,444666.67,336376.23
383,12,164,9408,1028106.24,337182.72,690923.52
325,2,88,1841,469970.48,293492.22,176478.26
396,4,83,5007,1029939.9,586369.77,443570.13
397,8,159,9848,6413116.08,5169806.08,1243310.0
398,6,116,9339,87132.87,64625.88,22506.99
344,11,32,3483,531436.14,339383.52,192052.62
399,6,16,4318,40286.94,29880.56,10406.38
240,9,13,911,74456.03,51626.37,22829.66
400,1,70,4360,2913657.2,2191074.4,722582.8
178,1,22,2794,1867146.38,1404096.76,463049.62
401,2,96,6377,1627920.56,1016621.34,611299.22
402,12,134,2298,251125.44,82360.32,168765.12
403,8,59,9783,6370787.43,5135683.68,1235103.75
404,9,60,5086,415678.78,288223.62,127455.16
405,1,35,6494,4339745.38,3263494.76,1076250.62
135,6,38,9323,86983.59,64515.16,22468.43
406,3,165,922,388982.58,336244.18,52738.4
407,11,131,5672,865433.76,552679.68,312754.08
408,6,127,9983,93141.39,69082.36,24059.03
409,4,156,7297,1500992.9,854551.67,646441.23
410,6,28,3089,28820.37,21375.88,7444.49
411,5,123,2156,942603.2,567739.48,374863.72
412,1,60,1534,1025126.18,770896.36,254229.82
413,11,141,1597,243670.26,155611.68,88058.58
414,6,103,2973,27738.09,20573.16,7164.93
283,9,24,8325,680402.25,471777.75,208624.5
415,5,147,7345,3211234.0,1934158.85,1277075.15
416,3,31,1757,741260.73,640760.33,100500.4
417,10,38,314,14899.3,9982.06,4917.24
418,9,105,3804,310900.92,215572.68,95328.24
419,11,38,44,6713.52,4287.36,2426.16
420,3,166,8882,3747226.98,3239176.58,508050.4
421,11,146,7199,1098423.42,701470.56,396952.86
422,9,17,3904,319073.92,221239.68,97834.24
423,12,113,4942,540061.76,177121.28,362940.48
424,2,74,8285,2114994.8,1320794.7,794200.1
73,1,124,3939,2632315.53,1979505.06,652810.47
250,6,85,7353,68603.49,50882.76,17720.73
425,6,101,5279,49253.07,36530.68,12722.39
426,5,53,848,370745.6,223303.84,147441.76
427,9,52,2588,211517.24,146661.96,64855.28
92,3,51,5175,2183280.75,1887270.75,296010.0
428,2,25,8237,2102741.36,1313142.54,789598.82
429,5,56,5060,2212232.0,1332449.8,879782.2
430,11,89,5960,909376.8,580742.4,328634.4
431,11,139,3287,501530.46,320285.28,181245.18
131,2,126,6420,1638897.6,1023476.4,615421.2
432,10,158,6771,321283.95,215250.09,106033.86
433,7,42,2782,428594.92,252967.26,175627.66
434,9,111,4927,402683.71,279213.09,123470.62
435,7,132,710,109382.6,64560.3,44822.3
436,12,107,9667,1056409.76,346465.28,709944.48
437,6,75,8366,78054.78,57892.72,20162.06
438,2,131,5407,1380298.96,861983.94,518315.02
439,5,76,6417,2805512.4,1689788.61,1115723.79
440,12,167,9059,989967.52,324674.56,665292.96
153,10,63,8025,380786.25,255114.75,125671.5
441,6,39,39,363.87,269.88,93.99
442,11,20,8856,1351248.48,862928.64,488319.84
443,6,137,261,2435.13,1806.12,629.01
444,7,4,7072,1089512.32,643056.96,446455.36
445,3,9,4137,1745358.93,1508722.53,236636.4
446,8,22,3338,2173738.98,1752316.48,421422.5
447,8,47,8584,5589986.64,4506256.64,1083730.0
448,10,94,818,38814.1,26004.22,12809.88
447,4,105,3013,619774.1,352852.43,266921.67
449,6,69,5176,48292.08,35817.92,12474.16
450,8,42,9341,6082952.61,4903651.36,1179301.25
451,12,120,4576,500065.28,164003.84,336061.44
452,4,93,1979,407080.3,231760.69,175319.61
453,3,48,9682,4084738.98,3530928.58,553810.4
454,3,64,7844,3309305.16,2860628.36,448676.8
455,5,4,3658,1599277.6,963261.14,636016.46
456,11,74,6349,968730.42,618646.56,350083.86
72,7,117,2169,334156.14,197227.17,136928.97
457,10,69,9407,446362.15,299048.53,147313.62
458,6,44,3378,31516.74,23375.76,8140.98
459,3,68,1433,604568.37,522600.77,81967.6
460,2,78,7950,2029476.0,1267389.0,762087.0
19,10,42,9341,443230.45,296950.39,146280.06
457,8,131,9048,5892148.08,4749838.08,1142310.0
461,7,13,2545,392082.7,231416.85,160665.85
462,11,98,2337,356579.46,227717.28,128862.18
463,1,26,2959,1977410.93,1487015.86,490395.07
464,1,73,5980,3996254.6,3005189.2,991065.4
465,3,117,4998,2108606.22,1822720.62,285885.6
466,10,168,642,30462.9,20409.18,10053.72
467,7,113,5574,858730.44,506843.82,351886.62
468,7,120,9487,1461567.22,862652.91,598914.31
469,6,56,4103,38280.99,28392.76,9888.23
470,3,105,8178,3450216.42,2982434.82,467781.6
471,6,3,2498,23306.34,17286.16,6020.18
472,1,12,4881,3261825.87,2452897.74,808928.13
473,11,141,5174,789448.92,504154.56,285294.36
474,11,169,258,39365.64,25139.52,14226.12
475,3,115,9044,3815573.16,3298256.36,517316.8
476,11,127,7474,1140382.92,728266.56,412116.36
477,8,62,3522,2293561.62,1848909.12,444652.5
478,4,58,2194,451305.8,256939.34,194366.46
479,8,68,524,341234.04,275079.04,66155.0
480,2,19,2580,658622.4,411303.6,247318.8
51,6,12,4461,41621.13,30870.12,10751.01
481,9,119,9298,759925.54,526917.66,233007.88
482,6,3,2250,20992.5,15570.0,5422.5
323,3,128,5510,2324613.9,2009441.9,315172.0
483,3,15,3303,1393502.67,1204571.07,188931.6
484,8,121,6883,4482278.43,3613299.68,868978.75
485,4,80,9535,1961349.5,1116643.85,844705.65
486,3,141,1578,665742.42,575480.82,90261.6
251,3,35,5360,2261330.4,1954738.4,306592.0
487,11,170,261,39823.38,25431.84,14391.54
488,5,32,7692,3362942.4,2025534.36,1337408.04
489,5,66,6095,2664734.0,1604996.35,1059737.65
490,7,135,5945,915886.7,540578.85,375307.85
491,4,87,4745,976046.5,555686.95,420359.55
492,11,161,2033,310195.14,198095.52,112099.62
493,11,57,4375,667537.5,426300.0,241237.5
494,7,30,370,57002.2,33644.1,23358.1
495,8,37,5648,3678034.08,2964974.08,713060.0
496,5,144,7871,3441201.2,2072670.43,1368530.77
497,1,145,1729,1155438.83,868891.66,286547.17
498,9,88,3948,322670.04,223733.16,98936.88
499,2,163,8282,2114228.96,1320316.44,793912.52
500,3,69,517,218117.13,188544.73,29572.4
476,11,171,3471,529605.18,338214.24,191390.94
501,8,59,1992,1297210.32,1045720.32,251490.0
502,4,52,7959,1637166.3,932078.49,705087.81
503,10,61,5286,250820.7,168041.94,82778.76
454,9,20,4912,401457.76,278363.04,123094.72
195,4,55,9813,2018534.1,1149200.43,869333.67
403,11,131,9993,1524731.94,973717.92,551014.02
504,12,97,7488,818288.64,268369.92,549918.72
505,4,24,1366,280986.2,159972.26,121013.94
506,1,159,2724,1820367.48,1368918.96,451448.52
507,3,26,9694,4089801.66,3535304.86,554496.8
